#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2007cq	  15.756	 0.12841	 0.02604	 0.02481	 -83.967	     -72	    -109	     -78
2011dn	  15.205	 0.24316	 0.02527	 0.02443	 -205.82	    -218	    -294	    -281
2007sw	  15.659	  0.2192	 0.02428	   0.025	 -50.839	     -27	     -48	       1
2012bh	  15.946	 0.16939	 0.02428	   0.025	 -50.839	     -27	     -48	       1
2002bf	  15.653	 0.19771	 0.02438	 0.02494	 -91.716	     -93	    -112	     -75
PS15ahs	  15.944	 0.13116	 0.02551	 0.02522	 -36.772	     -28	       8	      -2
PSNJ0153424	   15.93	 0.16707	 0.02565	 0.02474	 -237.62	    -233	    -254	    -255
SN2017hn	  15.809	 0.13539	 0.02385	 0.02492	 -189.32	    -235	    -177	    -348
SN2017ms	  15.865	 0.14189	 0.02448	 0.02538	 -156.12	    -175	    -154	    -199
2005M	   16.04	 0.12681	 0.02484	 0.02584	 -42.118	     -55	     -74	     -56
2005M	  15.855	  0.1414	 0.02484	 0.02584	 -42.118	     -55	     -74	     -56
2005M	  15.582	 0.24867	 0.02484	 0.02584	 -42.118	     -55	     -74	     -56
SN2017mf	  16.058	 0.12693	 0.02561	 0.02618	  59.011	      63	      55	     106
2005ms	  16.055	 0.12589	 0.02522	 0.02595	 -217.49	    -236	    -234	    -273
1999gp	  16.016	 0.14524	 0.02675	 0.02603	 -258.63	    -256	    -231	    -276
1999gp	  16.036	 0.12969	 0.02675	 0.02603	 -258.63	    -256	    -231	    -276
ASASSN-17at	  15.998	 0.13386	 0.02537	 0.02643	 -204.19	    -229	    -145	    -271
2013fn	  16.036	 0.21614	 0.02823	 0.02724	 -18.054	      -9	     147	     -52
2002eb	  16.014	 0.12279	 0.02751	 0.02633	 -284.35	    -285	    -377	    -325
2007co	  16.091	 0.16392	 0.02696	 0.02655	 -221.82	    -232	    -239	    -270
2007co	  15.859	 0.24907	 0.02696	 0.02655	 -221.82	    -232	    -239	    -270
2007co	  15.974	 0.18583	 0.02696	 0.02655	 -221.82	    -232	    -239	    -270
1992P	   16.06	 0.15913	 0.02531	 0.02643	 -272.65	    -328	    -228	    -451
2005na	   15.86	 0.12047	 0.02665	 0.02717	 -88.882	     -98	    -168	    -124
2005na	  15.901	 0.12683	 0.02665	 0.02717	 -88.882	     -98	    -168	    -124
2005na	  15.859	 0.13265	 0.02665	 0.02717	 -88.882	     -98	    -168	    -124
2010ii	  15.878	 0.13466	 0.02814	 0.02704	 -294.38	    -315	    -393	    -370
PSNJ0252467	  16.108	 0.13621	 0.02809	 0.02748	 -197.78	    -190	    -106	    -193
2009aa	  16.064	 0.12484	 0.02705	 0.02827	  25.317	       2	     110	     -31
2011hb	  16.034	 0.20984	 0.02901	 0.02775	 -131.72	    -121	    -159	    -133
2005eq	  16.253	 0.11466	 0.02893	 0.02831	  23.079	      45	      54	      59
2005eq	  16.303	 0.11351	 0.02893	 0.02831	  23.079	      45	      54	      59
2005eq	  16.305	 0.11313	 0.02893	 0.02831	  23.079	      45	      54	      59
2009ad	  16.119	 0.11318	  0.0284	 0.02834	 -30.493	     -23	    -120	     -12
2009ad	  16.089	 0.11487	  0.0284	 0.02834	 -30.493	     -23	    -120	     -12
2008ar	  16.184	 0.13113	 0.02617	 0.02732	  -342.8	    -400	    -248	    -529
2008ar	  16.038	 0.13047	 0.02617	 0.02732	  -342.8	    -400	    -248	    -529
2008ar	  16.106	 0.13083	 0.02617	 0.02732	  -342.8	    -400	    -248	    -529
2007is	  16.092	 0.16295	 0.02953	 0.02953	  253.01	     298	     608	     531
1998ab	  15.696	 0.16438	 0.02731	 0.02806	  -194.2	    -214	    -154	    -248
ASASSN-15la	  15.803	 0.15651	 0.02782	 0.02845	 -166.73	    -189	    -109	    -233
1996C	  16.262	 0.17813	 0.02823	 0.02875	 -112.45	    -122	    -107	    -125
PS16cvc	  16.442	 0.12935	 0.02954	 0.02844	 -206.27	    -207	    -245	    -261
ASASSN-15fs	  15.986	 0.13255	 0.02902	  0.0285	 -196.22	    -198	    -183	    -216
PSNJ0859349	  16.219	 0.16304	 0.02812	 0.02874	 -185.72	    -198	    -234	    -220
LSQ12gdj	  15.841	 0.19767	 0.02991	 0.02886	 -175.72	    -164	     -66	    -226
2000cw	  16.355	 0.15938	 0.03013	 0.02896	 -153.64	    -141	    -185	    -143
2002de	  16.111	 0.20557	 0.03034	  0.0305	  289.98	     292	     670	     513
ASASSN-16hh	  16.248	 0.13661	 0.03026	 0.02935	 -126.59	    -111	     -10	    -114
Gaia16bba	  16.182	  0.1306	 0.03046	 0.02934	 -161.22	    -151	    -188	    -162
2004ef	  16.267	 0.14021	 0.03101	 0.02978	 -99.554	     -85	    -193	     -80
2004ef	  16.231	 0.14419	 0.03101	 0.02978	 -99.554	     -85	    -193	     -80
2004ef	  16.223	  0.1677	 0.03101	 0.02978	 -99.554	     -85	    -193	     -80
AT2017lm	  16.301	 0.15422	 0.03064	 0.03002	 -83.303	     -79	     -32	    -108
ASASSN-16hr	  16.212	 0.20384	 0.03086	  0.0298	 -300.27	    -301	    -380	    -341
1990O	   16.24	 0.11799	 0.03099	 0.03093	  6.1158	      10	      20	      24
2008gg	  16.417	 0.16774	 0.03203	 0.03107	 -18.695	      -8	       0	     -14
2008gg	  16.288	 0.13193	 0.03203	 0.03107	 -18.695	      -8	       0	     -14
1999cc	  16.335	  0.1287	 0.03111	 0.03132	   46.98	      63	     358	     173
2007bd	  16.243	 0.12418	 0.03044	 0.03141	  62.701	      57	      13	      69
2007bd	  16.326	 0.10657	 0.03044	 0.03141	  62.701	      57	      13	      69
2007bd	  16.231	 0.10851	 0.03044	 0.03141	  62.701	      57	      13	      69
ASASSN-15hg	  16.393	 0.14086	 0.02992	 0.03107	 -105.01	    -133	    -146	    -183
ATLAS17axb	  16.307	 0.13362	 0.03165	 0.03264	  351.47	     357	     524	     418
CSS160428	  16.449	 0.15608	 0.03029	 0.03081	    -196	    -213	    -175	    -243
2000dn	  16.454	 0.11703	 0.03207	 0.03081	 -192.92	    -192	    -177	    -240
2006en	  16.394	 0.13877	 0.03198	 0.03081	 -236.15	    -229	    -324	    -262
2006en	  16.432	 0.13427	 0.03198	 0.03081	 -236.15	    -229	    -324	    -262
2008bq	  16.475	 0.13084	 0.03232	 0.03279	  328.62	     354	     469	     446
ASASSN-16oz	  16.206	 0.19524	   0.031	 0.03207	  42.874	      30	      73	      18
2006az	  16.237	 0.10523	 0.03103	 0.03158	 -124.25	    -132	    -137	    -130
010026	  16.422	 0.14451	 0.03123	 0.03174	 -178.95	    -188	    -192	    -201
AT2017po	  16.323	  0.1389	 0.03183	 0.03201	 -156.24	    -169	    -184	    -193
2007ux	  16.628	 0.13587	  0.0307	 0.03183	 -233.21	    -268	    -181	    -341
ASASSN-15pr	  16.655	 0.14022	 0.03309	 0.03189	 -217.89	    -223	    -198	    -302
SN2016hpx	   16.38	 0.14603	 0.03338	  0.0337	  254.85	     269	     353	     314
SN2017cii	  16.585	 0.13004	 0.03323	 0.03337	  138.77	     155	     303	     231
2006te	  16.472	 0.10815	 0.03155	 0.03212	 -227.18	    -243	    -231	    -279
2004as	  16.479	 0.15882	 0.03139	  0.0325	 -136.07	    -159	    -179	    -195
