#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2001az	  17.062	  0.1058	 0.04069	 0.04059	 -120.83	    -115	    -122	     -95
1992bl	  16.957	 0.14934	 0.04359	  0.0428	  167.01	     181	     254	     200
2014bj	  17.258	 0.30253	   0.043	 0.04239	  -53.16	     -42	     108	     -17
2006cf	   17.04	 0.10766	 0.04146	 0.04223	 -129.54	    -140	     -82	    -147
2007kk	  16.999	 0.13612	 0.04177	  0.0413	 -446.69	    -472	    -171	    -534
2007kk	  16.954	  0.1303	 0.04177	  0.0413	 -446.69	    -472	    -171	    -534
AT2016htm	  16.949	 0.11384	 0.04332	 0.04265	 -67.491	     -66	     -74	     -92
MASTERJ0134	  17.006	 0.12499	 0.04485	 0.04391	  60.648	      77	      75	      91
ASASSN-15mg	  17.077	 0.12867	 0.04277	 0.04307	  -289.8	    -311	    -265	    -361
AT2016cvv	  17.294	 0.16576	 0.04457	 0.04404	 -97.444	     -88	      13	     -68
2005ku	  17.039	 0.18041	 0.04525	 0.04397	  -120.6	    -113	    -198	    -130
1992bh	  17.298	 0.19534	   0.045	  0.0451	  202.28	     207	     257	     220
PSNJ1204051	  17.201	 0.14046	 0.04385	 0.04502	 -123.44	    -152	     -23	    -204
2005hc	   17.21	 0.10761	 0.04592	 0.04496	 -228.69	    -230	    -306	    -280
2005hc	  17.261	  0.1228	 0.04592	 0.04496	 -228.69	    -230	    -306	    -280
2008050	  17.011	 0.15476	 0.04526	 0.04627	  6.3868	      -9	     106	     -19
2005lz	  17.072	 0.13929	 0.04624	 0.04541	 -292.46	    -292	    -120	    -324
360156	  17.255	 0.15239	 0.04551	 0.04673	  46.504	      32	      -7	      34
2008cf	  17.226	 0.10793	 0.04603	 0.04692	   29.57	       4	      85	     -35
2008cf	  17.233	 0.13277	 0.04603	 0.04692	   29.57	       4	      85	     -35
AT2017yk	  17.505	 0.20711	 0.04644	 0.04764	  207.29	     206	     269	     242
PS16fa	  17.348	 0.11595	 0.04611	 0.04734	 -74.087	    -105	     -49	    -152
PS15aii	  17.342	 0.10337	 0.04655	 0.04768	 -26.351	     -49	      10	     -72
