# SN       GALAXY                   Jmax                 eJmax                  zhel        zcmb       ezcmb       zcorr        Hmax                 eHmax                 
SN2006le   UGC3218                  15.887841705014235   0.011497458700473933   0.017439    0.0172772  0.0000230   0.01854   	16.298541162904755   0.03852373360046534   
SN2006lf   UGC3108                  14.877558841824326   0.020440107185954962   0.013189    0.0129561  0.0000170   0.0125    	NaN                    NaN                 
SN2007S    UGC5378                  15.352619548313987   0.007194192126334885   0.013856    0.0150242  0.0000170   0.01509   	15.529876240474731   0.008258205199800469  
SN2007ai   MCG-04-38-4              17.001414585636667   0.04323501014511189    0.03176     0.0321151  0.0001370   0.03297   	NaN                    NaN                 
SN2007as   ESO-18-G18               15.880789491771687   0.026235572393536515   0.01757     0.0179137  0.0004600   0.01817   	16.10391176571194    0.037330046637540484  
SN2007ba   UGC09798                 17.672656101897747   0.018570380720032375   0.03475     0.0386343  0.0000900   0.03593   	17.516310334953573   0.13530593220524598   
SN2007bc   UGC6332                  16.353676938193257   0.01830690355363767    0.02075     0.0218657  0.0000070   0.02152   	NaN                    NaN                 
SN2007bd   UGC4455                  17.06630371809719    0.040705121860286415   0.03044     0.031411   0.0001000   0.03144   	17.233801737759613   0.1005567010200797    
SN2007ca   MCG-02-34-61             15.689005901830823   0.07988265131141294    0.01406     0.0150888  0.0000100   0.01457   	15.717409199787157   0.011299686270719683  
SN2008bc   Anon.                    15.518938485695774   0.014725864073724853   0.01509     0.0157255  0.0001200   0.01564   	15.704150879154698   0.023790733174995606  
SN2008bf   NGC4061-NGC4065          16.38090058969695    0.011076275918802274   0.02342     0.0237063  0.0000100   0.02473   	NaN                    NaN                 
SN2008gl   UGC881                   17.226210970901086   0.021662105910168674   0.03354     0.0331222  0.0001170   0.03251   	17.422069177713368   0.0386109790468701    
SN2008gp   MCG+00-9-74              17.05466061244922    0.03785568772095393    0.03302     0.0329208  0.0000710   0.03335   	17.459393304241782   0.11110943205500615   
SN2008hj   MCG-02-1-14              17.590514031563764   0.03675900822569862    0.03761     0.0364304  0.0001300   0.03688   	NaN                    NaN                 
SN2008hv   NGC2765                  15.243678017874425   0.14497948822782053    0.01255     0.0136023  0.0000050   0.01392   	15.490505820069448   0.006477301082784381  
SN2009aa   ESO570-G20               16.768863369895183   0.02867535070263516    0.02705     0.0282732  0.0000470   0.02854   	16.98699855066833    0.015554395222923722  
SN2009ad   UGC3236                  16.754385418389603   0.017529285624481337   0.0284      0.02834    0.0000050   0.02884   	16.991915626644115   0.05981073908028166   
SN2009al   NGC3388                  16.437352525899804   0.013962457510500063   0.02207     0.0232797  0.0000800   0.02327   	16.643344632918158   0.025735272569173757  
SN2009bv   IC4199                   17.511646421474484   0.05531998037867662    0.03667     0.0374847  0.0000180   0.03882   	17.7858803768769     0.02473053978733912   
SN2010Y    NGC3392                  15.235722753228433   0.02250892159639228    0.01105     0.0111464  0.0000100   0.0124    	15.10965323520331    0.12500469758276989   
SN2010ag   UGC10679                 17.136605774980644   0.049864580967283544   0.03341     0.0336687  0.0000110   0.03352   	NaN                    NaN                 
SN2010ju   UGC3341                  15.544051710103409   0.002390428389618259   0.015235    0.0153439  0.0000130   0.01523   	15.67535308158608    0.041047132252698834  
SN2010kg   NGC1633                  15.698410802026933   0.027707510912627718   0.01613     0.0164454  0.0000070   0.01602   	15.89856536496634    0.021656789858395403  
SN2011ao   IC2973                   14.82957828215124    0.004047047538610423   0.01074     0.0116748  0.0000020   0.0121    	14.911079876817809   0.02572942026322314   
13asv      SDSSJ162243.02+185733.8  17.090452576509      0.027011992962423      0.03620000  0.03640457 0.0000130   0.03652123	NaN                  NaN                   
13azs      LEDA5068207              17.277783012304      0.035422818354084      0.03383000  0.03375888 0.0000030   0.03563538	NaN                  NaN                   
13dge      NGC1762                  15.632076245017      0.075639287063553      0.01586     0.0158123  0.0000070   0.01586   	15.82939210771       0.28142554246818      
13duj      NGC7042                  15.412507063728      0.057196168613204      0.01695200  0.01586475 0.0000770   0.01726893	15.92738283608       0.03726666658102      
