#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
AT2017po	   16.31	  0.1389	  0.0318	   0.032	 -156.24	-169	-184	-193
2007ux	  16.507	  0.1359	  0.0307	  0.0318	 -233.21	-268	-181	-341
ASASSN-15pr	  16.663	  0.1402	  0.0331	  0.0319	 -217.89	-223	-198	-302
SN2016hpx	  16.337	   0.146	  0.0334	  0.0337	  254.85	269	353	314
SN2017cii	  16.572	    0.13	  0.0332	  0.0334	  138.77	155	303	231
2006te	  16.457	  0.1081	  0.0316	  0.0321	 -227.18	-243	-231	-279
2004as	  16.411	  0.1588	  0.0314	  0.0325	 -136.07	-159	-179	-195
2004as	  16.585	  0.1621	  0.0314	  0.0325	 -136.07	-159	-179	-195
2008gp	  16.438	  0.1135	   0.033	  0.0324	 -257.67	-265	-256	-314
2010ag	  16.341	  0.1438	  0.0334	  0.0334	   3.241	8	-37	36
2005iq	  16.569	   0.104	   0.034	  0.0329	 -141.55	-141	-140	-187
2005iq	  16.572	  0.1071	   0.034	  0.0329	 -141.55	-141	-140	-187
PS15bsq	  16.508	  0.1134	  0.0343	  0.0331	 -179.38	-178	-186	-225
2004L	  16.554	  0.2051	  0.0323	  0.0334	 -83.471	-107	-151	-144
2003gn	  16.702	  0.1747	  0.0344	  0.0332	 -170.66	-162	-273	-179
2003cq	  16.506	  0.1872	  0.0328	  0.0332	 -159.42	-168	-187	-174
2006S	  16.588	  0.1263	  0.0322	  0.0331	 -240.12	-266	-154	-315
2006gr	  16.598	  0.1495	  0.0347	  0.0335	 -220.64	-216	-342	-234
2006gr	  16.669	  0.1527	  0.0347	  0.0335	 -220.64	-216	-342	-234
ASASSN-16dw	  16.485	  0.1595	  0.0347	  0.0357	  371.74	379	606	497
1996bl	  16.462	  0.1094	   0.036	  0.0348	  63.545	92	66	136
2003kc	  16.525	  0.1467	  0.0332	  0.0341	 -200.59	-221	-183	-257
ASASSN-15jl	    16.6	  0.1187	  0.0347	  0.0349	 -56.229	-56	-41	-40
1992bg	  16.601	  0.1536	  0.0352	  0.0357	   169.3	163	254	161
ASASSN-15tg	  16.604	  0.1196	  0.0356	  0.0345	 -241.33	-236	-334	-263
PTSS-16efw	  16.961	  0.1367	  0.0356	  0.0354	 -76.081	-84	-197	-103
2016fbk	  16.666	  0.1642	  0.0359	   0.035	 -233.26	-226	-111	-252
1994T	  16.515	  0.1509	  0.0346	  0.0356	 -55.058	-80	51	-116
ASASSN-15ss	  16.732	  0.1369	  0.0356	  0.0359	 -19.525	-26	-16	-47
2001ck	  16.538	  0.1584	  0.0348	  0.0354	 -209.71	-236	-186	-289
2008hj	  16.638	  0.1106	  0.0376	  0.0364	 -111.99	-106	-103	-132
2008hj	  16.654	  0.1303	  0.0376	  0.0364	 -111.99	-106	-103	-132
2002hu	  16.643	  0.1186	  0.0367	  0.0359	 -326.81	-331	-317	-422
2000cf	  16.758	  0.1167	  0.0364	  0.0365	 -178.21	-181	-206	-185
2001eh	  16.686	  0.0942	  0.0371	  0.0363	 -283.42	-281	-324	-312
2001eh	  16.705	  0.1043	  0.0371	  0.0363	 -283.42	-281	-324	-312
ASASSN-16db	  16.525	  0.1361	  0.0349	  0.0359	 -408.93	-462	-336	-590
AT2016hns	  16.686	  0.1185	  0.0382	   0.037	 -105.31	-94	-210	-90
ASASSN-15bc	  16.659	  0.1928	  0.0367	  0.0364	  -330.4	-351	-443	-442
2007jg	  17.031	  0.1253	  0.0371	  0.0365	 -297.74	-314	-483	-432
2008gb	   16.82	  0.1414	   0.037	  0.0364	 -447.19	-458	-387	-517
2007O	  16.573	  0.1068	  0.0369	  0.0373	 -245.94	-272	-275	-328
2007O	  16.557	  0.1076	  0.0369	  0.0373	 -245.94	-272	-275	-328
2008fr	  16.828	    0.17	   0.039	  0.0379	 -110.97	-94	59	-92
2009bv	  16.945	  0.1085	  0.0367	  0.0375	 -287.73	-324	-301	-409
ASASSN-15np	  16.722	  0.1579	  0.0377	  0.0383	  -150.2	-185	-213	-259
2008dr	  16.963	  0.1053	  0.0412	    0.04	 -51.053	-37	-152	-35
PS15cze	  17.214	  0.1704	  0.0394	  0.0389	 -414.19	-438	-518	-547
2003fa	  16.696	  0.1054	  0.0404	  0.0401	 -119.78	-121	89	-127
