# Note: the tf_calib file is only used to identify calibrators and their
# respective values of m and M.  However, the value of M in the calib file
# depends on the estimated calibrator ("host") distance, which will be 
# replaced by the host distance determined from the distance network.
# Therefore duplicate values are not needed, and are in fact problematic.
# In this file duplicate calibrators are removed, and the columns mu_host,
# mu_error, anchor, source, and method are not used in the processing.
# (Some versions of the code might read them for verification purposes.)
#
# Also note that the internal logic of the main code will prevent NGC 4258
# to be used as a host; there is nothing fundamental about it, but the
# mechanism is different since mu_n4258 is not currently a parameter, and the
# relevant equation would need to have a different form.
#
# Host	PGC	m	M	M_error	mu_host	mu_error	anchor	source	method
P45084	45084	13.34	-15.93	0.67	28.88	0.06	N4258	A21	trgb_hst
N4945	45279	6.65	-21.06	0.33	27.71	0.05	N4258	A21	trgb_hst
N5023	45849	12.36	-17.89	0.54	28.86	0.05	N4258	A21	trgb_hst
N5055	46153	7.88	-21.61	0.29	29.72	0.02	N4258	A21	trgb_hst
N5204	47368	11.8	-16.97	0.6	28.33	0.23	N4258	A21	trgb_hst
P47847	47847	11.33	-17.08	0.59	29.16	0.04	N4258	A21	trgb_hst
N5398	49923	12.41	-15.98	0.66	30.42	0.19	N4258	A21	trgb_hst
P54392	54392	10.53	-17.59	0.56	27.2	0.1	N4258	A21	trgb_hst
N5907	54470	9.08	-21.9	0.26	31.13	0.05	N4258	A21	trgb_hst
N6503	60921	9.66	-19.44	0.44	28.94	0.06	N4258	A21	trgb_hst
N6744	62836	8.15	-21.56	0.29	29.81	0.06	N4258	A21	trgb_hst
P64181	64181	13.95	-16.21	0.65	29.77	0.12	N4258	A21	trgb_hst
P65603	65603	11.17	-18.01	0.53	28.64	0.05	N4258	A21	trgb_hst
N7090	67045	10.53	-18.59	0.49	29.84	0.05	N4258	A21	trgb_hst
N7640	71220	10.71	-19.31	0.45	29.59	0.06	N4258	A21	trgb_hst
# N7793	73049	9.19	-18.48	0.5	27.75	0.06	N4258	A21	trgb_hst
