#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2006fw	  18.708	 0.24514	  0.0835	0.082544	 -46.503	     -57	     -60	     -64
2006gj	  16.561	 0.19218	  0.0284	0.027817	 -257.95	      75	      55	     107
2006hx	  17.096	 0.21575	  0.0455	0.044441	 -240.01	    -160	      92	    -194
2006is	  16.194	 0.24805	   0.031	0.031088	  762.31	     283	     328	     347
2006kf	  15.704	 0.19118	  0.0213	0.020813	  143.66	       1	      32	      20
2006lu	  17.602	 0.24318	  0.0534	0.054431	 -33.779	     296	     208	     341
2006ob	  17.714	 0.19347	  0.0592	0.058258	  -139.9	    -178	    -189	    -210
2006os	  16.641	 0.24283	  0.0328	0.032094	 -460.06	    -242	    -308	    -322
2006py	   17.64	 0.19606	  0.0579	0.056684	 -101.65	      36	     432	      52
2006X	  11.701	 0.19197	  0.0052	0.0062841	  120.17	    -106	     -83	    -127
2007A	  15.219	 0.19113	  0.0177	0.016531	 -308.63	     -85	     -83	     -88
2007af	  12.948	 0.19079	  0.0055	0.0063291	  146.58	      16	      26	       6
2007ai	  16.464	 0.19302	  0.0317	0.032047	 -581.68	    -169	    -103	    -239
2007as	  15.158	 0.19111	  0.0176	0.017936	 -459.92	     -59	      -4	    -143
2007bc	  15.679	 0.19117	  0.0208	0.021893	 -144.59	     167	     121	     261
2007bd	  16.506	 0.19368	  0.0309	0.031842	 -40.721	      57	      13	      69
2007bm	  13.116	 0.19152	  0.0062	0.0074332	  109.94	      37	     109	      28
2007ca	  15.207	 0.19167	  0.0141	0.015113	  211.48	     190	     192	     213
2007cg	  16.907	 0.40247	  0.0332	0.034194	  590.94	     361	     569	     450
2007hj	  14.707	 0.19138	  0.0141	0.012878	 -139.71	     -97	    -143	     -99
2007hx	  18.626	  0.2581	  0.0794	0.078514	 -45.005	     -56	     -57	     -62
2007jd	  18.477	 0.26864	  0.0726	0.071928	 -49.081	     -57	     -54	     -63
2007jg	  17.119	 0.19158	  0.0371	 0.03657	 -877.34	    -314	    -483	    -432
2007le	  13.063	  0.1907	  0.0067	0.0055058	 -110.77	    -234	    -237	    -290
2007nq	  17.069	 0.19185	   0.045	0.043904	  474.48	    -289	     148	    -352
2007ol	  17.875	 0.21134	  0.0559	0.054912	 -145.15	    -207	    -128	    -250
2007on	  12.371	 0.19266	  0.0065	0.0061926	 -92.505	    -244	    -177	    -349
2007S	  14.926	 0.19214	  0.0139	0.015053	 -115.19	     -33	      78	     -44
2007sr	  12.362	  0.2333	  0.0055	0.0066824	  137.87	     264	     333	     316
2007st	  15.282	 0.27119	  0.0212	0.020684	 -159.86	      13	      45	     -30
2008ar	  16.183	 0.19194	  0.0261	0.027217	 -1137.7	    -400	    -248	    -529
2008bc	  14.883	 0.19037	  0.0151	 0.01573	 -135.95	      62	     149	      29
2008bf	  15.861	 0.19056	  0.0235	 0.02457	  310.95	     -59	    -377	     -91
2008bq	  16.558	 0.19092	   0.034	0.034459	  920.85	     229	     240	     261
